,PMCID
0,8765794
1,8107756
2,8576650
3,1734586
4,2746803
5,2414293
6,9479306
7,8862589
8,8463487
9,8070407
10,7730772
11,9763089
12,9083012
13,8319719
14,7384229
15,7319888
16,6916467
17,5638936
18,2375153
19,5216831
20,3093809
21,2394439
22,3595226
23,316894
24,4086320
25,3378381
26,108784
27,3626840
